nome,nometuss,tuss,valor_padrao,nome_plano,especialidade
"Reembasamento de Prótese Total ou Parcial em Consultório","Reembasamento de Prótese Total ou Parcial - Imediato (em Consultório)","85400483","250.00","Particular","Prótese"
"Reembasamento de Prótese Total ou Parcial em Laboratório","Reembasamento de Prótese Total ou Parcial - Imediato (em Laboratório)","85400491","400.00","Particular","Prótese"
"Radiografia da Mão (Carpal)","Radiografia da Mão (Carpal)",,"75.00","Particular","Radiologia"
"Colagem de Fragmentos Dentários","Colagem de Fragmentos Dentários","85100048","150.00","Particular","Urgência"
"Consulta odontológica","Consulta odontológica","81000030","150.00","Particular","Outros"
"Controle de Hemorragia com Aplicação de Agente Hemostático","Controle de Hemorragia com Aplicação de Agente Hemostático em região Buco-maxilo-facial","82000468","100.00","Particular","Urgência"
"Limpeza + RAP Sub. e Supra gengival + Polimento Coronário","Limpeza + RAP Sub. e Supra gengival + Polimento Coronário",,"180.00","Particular","Periodontia"
"Controle de Hemorragia sem Aplicação de Agente Hemostático","Controle de Hemorragia sem Aplicação de Agente Hemostático em região Buco-maxilo-facial","82000484","100.00","Particular","Urgência"
"Sutura de Ferida","Sutura de Ferida em região Buco-Maxilo-Facial","82001499","60.00","Particular","Urgência"
"Limpeza de Protocolo de Saúde Gengival ","Limpeza de Protocolo de Saúde Gengival ",,"160.00","Particular","Periodontia"
"Tratamento de Alveolite","Tratamento de Alveolite","82001650","80.00","Particular","Urgência"
"Imobilização Dentária em Dentes Decíduos","Imobilização Dentária em Dentes Decíduos","85000787","150.00","Particular","Urgência"
"Imobilização Dentária em Dentes Permanentes","Imobilização Dentária em Dentes Permanentes","85300020","150.00","Particular","Urgência"
"Limpeza + Raspagem Supra e Subgengival + Polimento ","Limpeza + Raspagem Supra e Subgengival + Polimento ",,"200.00","Particular","Periodontia"
"Incisão e Drenagem Extra Oral de Abscesso","Incisão e Drenagem Extra Oral de Abscesso, Hematoma e/ou Flegmão da Região Buco-Maxilo-Facial","82001022","100.00","Particular","Urgência"
"Incisão e Drenagem Intra Oral de Abscesso","Incisão e Drenagem Intra Oral de Abscesso, Hematoma e/ou Flegmão da Região Buco-Maxilo-Facial","82001030","80.00","Particular","Urgência"
"Prótese Parcial Removível c/ Estrutura Metálica (PPR) Dentes Nacionais ","Prótese Parcial Removível c/ Estrutura Metálica (PPR) Dentes Nacionais ",,"2250.00","Particular","Prótese"
"Recimentação de Trabalhos Protéticos","Recimentação de Trabalhos Protéticos","85400467","45.00","Particular","Urgência"
"Prótese Parcial Removível c/ Estrutura Metálica (PPR) Dentes importados","Prótese Parcial Removível c/ Estrutura Metálica (PPR) Dentes importados",,"2400.00","Particular","Prótese"
"Redução Simples de Luxação de ATM","Redução Simples de Luxação de Articulação Têmporo-Mandibular (ATM)","82001197","150.00","Particular","Urgência"
"Reimplante Dentário com Contenção","Reimplante Dentário com Contenção","82001251","150.00","Particular","Urgência"
"Prótese Parcial Removível Provisória (PPR)","Prótese Parcial Removível Provisória em Acrílico com ou sem Grampos","85400394","1200.00","Particular","Prótese"
"Tratamento de Abscesso Periodontal agudo","Tratamento de Abscesso Periodontal agudo","85300063","80.00","Particular","Urgência"
"Extração Dente Siso Em Boca ","Extração Dente Siso Em Boca ",,"580.00","Particular","Cirurgia"
"Falta a Consulta","Falta a Consulta",,"65.00","Particular","Outros"
"Enxerto Ósseo Bionnovation","Enxerto Ósseo Bionnovation",,"1500.00","Particular","Implantodontia"
"Reparo Em RC Antiga","Reparo Em RC Antiga",,"210.00","Particular","Dentística"
"Coroa Provisória Em Resina Acrílica ","Coroa Provisória Em Resina Acrílica ",,"380.00","Particular","Prótese"
"Provisório Sobre Implante ","Provisório Sobre Implante ",,"380.00","Particular","Prótese"
"Placa Miorrelaxante Acrílica","Placa Miorrelaxante Acrílica",,"920.00","Particular","Prevenção"
"Gengivoplastia S/ Osteotomia","Gengivoplastia S/ Osteotomia",,"75.00","Particular","Cirurgia"
"Gengivoplastia C/ Osteotomia","Gengivoplastia C/ Osteotomia",,"110.00","Particular","Cirurgia"
"Coroa de E-max Maquiada S/ Implante","Coroa de E-max Maquiada S/ Implante",,"2800.00","Particular","Implantodontia"
"Coroa de E-max Estratificada S/ Implante","Coroa de E-max Estratificada S/ Implante",,"2800.00","Particular","Implantodontia"
"Aumento de Coroa Clínica","Aumento de Coroa Clínica",,"350.00","Particular","Cirurgia"
"Coroa de Zirconia Maquiada S/ Implante","Coroa de Zirconia Maquiada S/ Implante",,"2700.00","Particular","Implantodontia"
"Coroa de Zirconia Estratificada S/ Implante","Coroa de Zirconia Estratificada S/ Implante",,"2700.00","Particular","Implantodontia"
"Exodontia de Raiz Residual Dente Anterior","Exodontia de Raiz Residual Dente Anterior",,"400.00","Particular","Cirurgia"
"Clareamento Dentário Caseiro","Clareamento Dentário Caseiro - por arcada","85100021","790.00","Particular","Dentística"
"Exodontia de Raiz Residual Pré-molar","Exodontia de Raiz Residual Pré-molar",,"400.00","Particular","Cirurgia"
"Polimento Rest. Amálgama","Polimento Rest. Amálgama",,"80.00","Particular","Dentística"
"Exodontia de Raiz Residual Molar","Exodontia de Raiz Residual Molar",,"400.00","Particular","Cirurgia"
"Toxina Botulínica Protocolo Enxaqueca ","Toxina Botulínica Protocolo Enxaqueca ",,"1350.00","Particular","Harmonização facial"
"Exodontia de Terceiro Molar em Boca","Exodontia de Terceiro Molar em Boca",,"580.00","Particular","Cirurgia"
"Faceta em Resina Fotopolimerizável","Faceta Direta em Resina Fotopolimerizável","85100064","680.00","Particular","Dentística"
"Exodontia de Terceiro Molar Semi-Incluso","Exodontia de Terceiro Molar Semi-Incluso",,"680.00","Particular","Cirurgia"
"Clareamento de Dente Desvitalizado Escurecido","Clareamento de Dente Desvitalizado Escurecido",,"690.00","Particular","Dentística"
"Rest. RC Classe V G4","Rest. RC Classe V G4",,"230.00","Particular","Dentística"
"Exodontia de Terceiro Molar Incluso","Exodontia de Terceiro Molar Incluso",,"880.00","Particular","Cirurgia"
"Rest. RC Classe V G3","Rest. RC Classe V G3",,"190.00","Particular","Dentística"
"Protocolo superior","Protocolo superior",,"25000.00","Particular","Implantodontia"
"Rest. RC Classe V G2","Rest. RC Classe V G2",,"170.00","Particular","Dentística"
"Abertura + Medicação Intracanal","Abertura + Medicação Intracanal",,"250.00","Particular","Endodontia"
"Rest. RC Classe V G1","Rest. RC Classe V G1",,"150.00","Particular","Dentística"
"Coroa em Resina Prensada ","Coroa em Resina Prensada ",,"1100.00","Particular","Prótese"
"Ajuste Placa de Bruxismo","Ajuste Placa de Bruxismo",,"250.00","Particular","Dentística"
"Bloco em Resina Fotopolimerizável","Bloco em Resina Fotopolimerizável",,"1500.00","Particular","Dentística"
"Bloco E-max Maquiada","Bloco E-max Maquiada",,"2200.00","Particular","Dentística"
"Ponte Fixa em Cerâmica","Ponte Fixa em Cerâmica",,"0.00","Particular","Prótese"
"Faceta Cerâmica - Copping Dissilicato + Apl. Fedlspática","Faceta Cerâmica - Copping Dissilicato + Apl. Fedlspática",,"3600.00","Particular","Prótese"
"Faceta Cerâmica - E-max","Faceta Cerâmica - E-max",,"2100.00","Particular","Prótese"
